generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
188,100,3889,0.15588314940189657,20,0,44.47,128,0.97,3.9548512426079214,1741002520.140329
189,100,3908,0.15510373365488705,13,0,44.34,117,0.97,3.958130878187813,1741002520.1758502
190,100,3917,0.15432821498661264,25,0,44.58,124,0.97,3.9696572537418953,1741002520.2129984
191,100,3932,0.15355657391167957,17,0,44.74,119,0.97,3.9949923007882937,1741002521.7715557
192,100,3938,0.15278879104212117,15,0,45.1,116,0.97,3.995667660606068,1741002521.8102398
193,100,3963,0.15202484708691055,22,0,45.1,117,0.97,4.0199782535334725,1741002521.8468559
194,100,3978,0.15126472285147602,18,0,45.25,114,0.97,4.028153734026757,1741002521.883076
195,100,3991,0.15050839923721862,20,0,45.33,120,0.97,4.034193057875926,1741002521.9198203
196,100,3995,0.14975585724103255,23,0,45.72,124,0.97,4.0355663984073855,1741002521.956147
197,100,4015,0.14900707795482737,20,0,46.03,130,0.97,4.0308838923541925,1741002521.9932034
198,100,4015,0.14826204256505324,17,0,46.34,123,0.97,4.042339143482923,1741002522.063491
199,100,4034,0.14752073235222796,22,0,46.36,126,0.97,4.060626245482996,1741002522.1010811
200,100,4052,0.1467831286904668,19,0,46.42,128,0.97,4.072830258440746,1741002522.1379533
201,100,4072,0.1460492130470145,11,0,46.28,129,0.97,4.077548206588662,1741002523.668219
202,100,4098,0.14531896698177943,14,0,46.09,126,0.97,4.080722846058201,1741002523.7096775
203,100,4133,0.14459237214687054,13,0,46.12,126,0.97,4.068735283265811,1741002523.7470164
204,100,4132,0.14386941028613617,15,0,46.67,129,0.97,4.076446042609323,1741002523.8191738
205,100,4180,0.1431500632347055,16,0,46.48,126,0.97,4.081287270656499,1741002523.8603077
206,100,4204,0.14243431291853195,12,0,46.48,112,0.97,4.076625492708187,1741002523.8991926
207,100,4212,0.14172214135393932,11,0,46.58,106,0.97,4.080821790892568,1741002523.9396923
208,100,4217,0.1410135306471696,18,0,46.89,111,0.97,4.091097565451859,1741002523.9784439
209,100,4231,0.14030846299393376,12,0,47.1,113,0.97,4.096706578269526,1741002524.0187547
210,100,4255,0.13960692067896407,23,0,47.53,119,0.97,4.108472219083162,1741002524.0610187
211,100,4270,0.13890888607556925,21,0,47.83,124,0.97,4.109315300792649,1741002525.5670955
212,100,4283,0.13821434164519142,16,0,48.0,127,0.97,4.117511356090215,1741002525.608269
213,100,4291,0.13752326993696548,12,0,48.21,124,0.97,4.121788190241394,1741002525.6492317
214,100,4308,0.13683565358728064,15,0,48.39,129,0.97,4.129127549951366,1741002525.6880524
215,100,4328,0.1361514753193442,16,0,48.51,126,0.97,4.1370479233698605,1741002525.7270553
216,100,4346,0.1354707179427475,19,0,48.82,129,0.97,4.1468308502184525,1741002525.7662172
217,100,4353,0.13479336435303377,20,0,49.26,131,0.97,4.133327423559166,1741002525.807859
218,100,4368,0.1341193975312686,19,0,49.32,129,0.97,4.110669175989455,1741002525.8844726
219,100,4391,0.13344880054361227,10,0,49.43,123,0.97,4.114696688067217,1741002525.9244409
220,100,4415,0.13278155654089419,15,0,49.75,127,0.97,4.0945873138990985,1741002525.9647632
221,100,4432,0.13211764875818974,18,0,50.13,129,0.97,4.02112197398609,1741002527.4346337
